0 814 913 846
1 8 246 11
2 15 449 22
3 4 1305 30
4 15 5240 88
5 19 6546 143
6 16 2827 895
7 40 1523 320
8 117 1586 4022
9 79 1463 2520
10 423 1192 2931
11 457 1294 2588
12 349 1432 1143
13 1831 1436 2756
14 819 1316 1792
15 1911 1737 2081
16 1925 2032 1690
17 948 1793 1725
18 2777 2422 1890
19 2193 2720 2333
20 785 2293 2522
21 1730 2871 2507
22 1424 2967 2774
23 1995 3221 3813
24 2093 3482 3707
25 1497 4392 3764
26 1987 4417 4262
27 1834 4411 4473
28 2075 5537 5103
29 2658 5361 5795
30 2205 5120 5924
31 2443 5634 5764
32 2119 5830 6330
33 2828 5158 6710
34 2714 5619 7645
35 2372 5283 6844
36 2142 5869 7887
37 2002 4677 7646
38 2671 5274 8190
39 1930 4637 7914
40 2345 5680 8806
41 1759 4992 7539
42 1976 4807 7019
43 2751 4353 5686
44 2179 4253 5906
45 1595 3027 5229
46 2194 3179 4641
47 2151 3209 4417
48 2898 2975 3484
49 2094 2595 3210
50 2763 2281 2851
51 1772 2566 2726
52 2534 2358 2777
53 3603 2049 2745
54 3324 2379 2291
55 1785 2439 2443
56 3761 1906 2400
57 3805 2258 2670
58 4516 2250 2127
59 2019 1871 1978
60 3758 1754 2021
61 2500 1896 2007
62 2511 1998 2094
63 3595 1963 2001
64 2466 1811 1628
65 1849 1842 1671
66 2650 1871 1748
67 2049 1970 1741
68 2425 1815 1363
69 2177 1775 1250
70 2226 1939 1338
71 1314 1984 1335
72 2284 1777 1450
73 2104 1881 1103
74 1693 1874 1138
75 1340 1661 1203
76 2055 1883 1241
77 2168 1824 1201
78 1610 1600 929
79 1766 1485 956
80 1398 1439 976
81 1669 1448 921
82 2112 1371 952
83 1626 1325 752
84 1200 1186 766
85 1647 1409 850
86 1390 1251 813
87 1720 1117 622
88 1421 1095 749
89 1427 994 746
90 1251 1116 589
91 1411 893 700
92 1963 914 520
93 1453 856 459
94 1363 874 455
95 1692 840 423
96 1328 695 602
97 1909 848 341
98 1381 1203 350
99 3877 3102 3024
100 2691 1854 1402
101 1832 1093 592
102 2174 676 284
103 1811 723 424
104 1608 735 423
105 1498 690 292
106 1773 510 211
107 1799 543 231
108 1401 536 187
109 1357 515 242
110 1560 449 277
111 1737 422 203
112 1408 424 253
113 1313 433 224
114 1403 448 228
115 1224 401 183
116 1508 378 188
117 1121 370 175
118 1314 357 185
119 1222 352 195
120 1059 316 167
121 1286 286 195
122 1126 309 152
123 1224 327 177
124 956 340 178
125 1202 288 159
126 1147 315 157
127 1106 285 158
128 1134 287 143
129 1123 280 171
130 1235 297 118
131 992 277 172
132 948 261 160
133 1134 276 144
134 946 264 142
135 1014 252 130
136 794 253 169
137 833 257 150
138 1013 245 163
139 916 282 145
140 879 238 160
141 808 239 145
142 813 252 156
143 1053 230 186
144 826 243 205
145 824 226 222
146 699 265 173
147 755 232 197
148 996 204 158
149 811 208 140
150 724 204 132
151 742 211 129
152 802 211 146
153 966 227 171
154 804 195 137
155 734 226 120
156 934 196 144
157 852 216 126
158 1283 195 119
159 1227 231 160
160 900 229 120
161 1257 208 132
162 1128 297 111
163 1454 213 121
164 911 224 126
165 1227 182 115
166 1362 169 143
167 1317 148 122
168 1259 194 114
169 1431 152 112
170 1414 142 109
171 1455 156 122
172 966 171 110
173 1751 138 128
174 1629 128 124
175 1341 131 124
176 1853 139 115
177 1889 149 136
178 2124 113 143
179 1304 120 109
180 2125 145 130
181 2048 132 157
182 1960 109 238
183 1163 111 193
184 1773 109 401
185 1738 121 491
186 1642 94 715
187 809 110 679
188 1600 93 569
189 1664 105 853
190 1769 98 857
191 691 146 723
192 1645 182 978
193 1898 344 1028
194 852 210 794
195 2084 399 1064
196 1773 446 1209
197 1639 340 1706
198 918 373 1724
199 2025 431 1553
200 1648 336 1478
201 2019 527 1469
202 1151 582 1185
203 2034 355 1766
204 2537 600 1886
205 2092 678 1350
206 1668 289 1880
207 1752 707 1811
208 2485 665 2158
209 2507 407 1752
210 935 543 1662
211 1777 743 1622
212 2024 741 2030
213 933 454 2060
214 2381 1063 2700
215 1879 1029 2975
216 1823 739 2820
217 932 943 3328
218 1767 1135 3885
219 2081 617 3798
220 1536 1272 3448
221 1157 1078 3411
222 1907 532 2749
223 1749 908 2474
224 2063 1054 2571
225 1415 1141 2632
226 1750 569 2732
227 1521 1237 2319
228 2201 774 2026
229 1323 1262 1820
230 1468 1068 1898
231 1400 1306 1574
232 1159 655 1218
233 1765 1596 970
234 1299 1504 1051
235 934 890 928
236 936 1131 1022
237 957 1335 857
238 983 743 723
239 579 1277 886
240 723 1665 884
241 633 1580 734
242 914 1451 587
243 482 1875 737
244 614 1582 594
245 530 1354 625
246 405 1885 626
247 654 1808 514
248 452 2005 495
249 485 2183 586
250 410 1985 549
251 375 1548 513
252 557 1925 391
253 362 1973 464
254 348 1574 419
255 4617 49251 7028
